--- Sheet: Sheet1 ---
ĐÁP ÁN |  |  |  |  |  |  |  |  | 
Câu | Đáp án | Câu | Đáp án | Câu | Đáp án | Câu | Đáp án | Câu | Đáp án
1 | A | 41 | A | 81 | A | 121 | B | 161 | B
2 | A | 42 | A | 82 | B | 122 | A | 162 | C
3 | A | 43 | A | 83 | B | 123 | C | 163 | B
4 | A | 44 | A | 84 | B | 124 | C | 164 | D
5 | A | 45 | A | 85 | B | 125 | B | 165 | B
6 | A | 46 | A | 86 | D | 126 | B | 166 | C
7 | A | 47 | A | 87 | C | 127 | B | 167 | D
8 | A | 48 | A | 88 | A | 128 | B | 168 | B
9 | A | 49 | A | 89 | B | 129 | C | 169 | B
10 | A | 50 | A | 90 | C | 130 | C | 170 | C
11 | A | 51 | A | 91 | B | 131 | C | 171 | A
12 | A | 52 | A | 92 | D | 132 | C | 172 | B
13 | A | 53 | A | 93 | B | 133 | D | 173 | B
14 | A | 54 | A | 94 | B | 134 | B | 174 | B
15 | A | 55 | A | 95 | B | 135 | A | 175 | A
16 | A | 56 | A | 96 | D | 136 | B | 176 | B
17 | A | 57 | A | 97 | A | 137 | B | 177 | B
18 | A | 58 | A | 98 | B | 138 | B | 178 | B
19 | A | 59 | A | 99 | D | 139 | B | 179 | A
20 | A | 60 | A | 100 | C | 140 | A | 180 | A
21 | A | 61 | A | 101 | A | 141 | A | 181 | C
22 | A | 62 | A | 102 | A | 142 | A | 182 | D
23 | A | 63 | A | 103 | B | 143 | A | 183 | C
24 | A | 64 | A | 104 | C | 144 | D | 184 | B
25 | A | 65 | A | 105 | B | 145 | A | 185 | B
26 | A | 66 | A | 106 | A | 146 | D | 186 | C
27 | A | 67 | A | 107 | B | 147 | A | 187 | D
28 | A | 68 | A | 108 | A | 148 | D | 188 | B
29 | A | 69 | A | 109 | B | 149 | B | 189 | B
30 | A | 70 | A | 110 | C | 150 | B | 190 | B
31 | A | 71 | A | 111 | C | 151 | B | 191 | A
32 | A | 72 | A | 112 | B | 152 | A | 192 | A
33 | A | 73 | A | 113 | A | 153 | A | 193 | B
34 | A | 74 | A | 114 | A | 154 | B | 194 | B
35 | A | 75 | A | 115 | B | 155 | B | 195 | B
36 | A | 76 | A | 116 | C | 156 | B | 196 | A
37 | A | 77 | A | 117 | D | 157 | B | 197 | A
38 | A | 78 | A | 118 | C | 158 | B | 198 | B
39 | A | 79 | A | 119 | B | 159 | B | 199 | B
40 | A | 80 | A | 120 | A | 160 | A | 200 | B
